detection_count,mean_frp,max_frp,mean_brightness,max_brightness,unique_detection_days,observation_window_days,spatial_spread_km,temporal_recurrence,duration_score,detection_frequency,spatial_consistency,persistence_score,land_cover_code,is_cropland,is_tree_cover,is_built_up,cropland_percentage,tree_cover_percentage,built_up_percentage,grassland_percentage,shrubland_percentage,bare_sparse_percentage,nearest_industrial_distance_km,nearby_industrial_facility_count,nearby_industrial_capacity_mw,cluster_id,centroid_lat,centroid_lon,fire_class
5,2.124,7.64,313.08000000000004,353.11,3,4,1.528811993105066,0.75,0.8,1.25,0.3954426041661265,54.88606510415317,10.0,0,1,0,16.110987351798222,81.90886364198906,0.1930645281057399,1.6707507239919803,0.0445533526397861,0.071780401475211,55.289275915626334,0,0.0,64.0,29.667472,78.88671400000001,WILDFIRE
3,2.713333333333334,4.26,334.75666666666666,340.69,2,38,0.4283714844834767,0.0526315789473684,0.4,0.0789473684210526,0.7000979863173458,41.58286682111488,40.0,1,0,0,67.03051904655825,4.47018638152521,0.0668300289596792,27.70475978317368,0.0272270488354248,0.670775475854558,2.8280379107113807,4,470.0,6.0,22.47344333333333,82.58508333333333,INDUSTRIAL
6,0.7283333333333334,1.27,299.64166666666665,303.35,3,3,0.2422216103148825,1.0,0.1,2.0,0.8050093410840893,68.10018682168179,50.0,0,0,1,0.0,0.0,70.0,10.0,5.0,15.0,0.0,1,100.0,11.0,52.77352166666666,50.36340333333334,INDUSTRIAL
3,0.79,0.82,301.5566666666667,304.48,2,2,0.1772138068852438,1.0,0.0666666666666666,1.5,0.8494633635379042,67.23926727075809,50.0,0,0,1,0.0,0.0,70.0,10.0,5.0,15.0,0.0,1,100.0,26.0,52.92298,51.41904333333334,INDUSTRIAL
6,0.9433333333333334,1.36,308.795,332.96,3,3,0.2195654831629031,1.0,0.1,2.0,0.8199641706868684,68.39928341373736,50.0,0,0,1,0.0,0.0,70.0,10.0,5.0,15.0,0.0,1,100.0,28.0,51.84566333333333,49.903,INDUSTRIAL
38,2.5407894736842107,15.07,316.3010526315789,351.35,4,5,6.185622101579408,0.8,1.0,7.6,0.1391667952841826,67.67916988210457,10.0,0,1,0,0.0594044701863815,90.4556817900547,0.0767307739907428,9.408182965768171,0.0,0.0,69.30745615525491,0,0.0,5.0,29.77180394736842,79.07486421052631,WILDFIRE
2,3.91,4.78,337.13,339.41,1,1,0.4216882389143935,1.0,0.2,2.0,0.7033890923678201,56.5847273091955,40.0,1,0,0,98.83418727259226,0.9479963367243384,0.0049503725155317,0.2128660181678671,0.0,0.0,51.84562117412894,0,0.0,137.0,25.97755,78.70679,AGRICULTURAL
56,2.91875,8.15,322.1517857142857,344.96,4,5,6.664799247314248,0.8,1.0,11.2,0.1304665611888531,72.26166402972133,10.0,0,1,0,0.0297022350931907,98.77478280240588,0.0,0.7178040147521101,0.0,0.477710947748818,60.22965440861375,0,0.0,3.0,29.000146607142856,80.44371125,WILDFIRE
2,3.22,4.3,334.81,336.95,2,2,0.7029775607516703,1.0,0.4,1.0,0.5872067976976832,56.680169942442085,10.0,0,1,0,2.668250785871637,63.98356476324844,0.0,27.20724734536273,6.14093710551719,0.0,94.88416198613304,0,0.0,415.0,25.04556,80.730905,AGRICULTURAL
4,1.1125,1.85,303.06,307.88,4,4,0.2340980467544845,1.0,0.1333333333333333,1.0,0.8103083888916836,64.70616777783367,50.0,0,0,1,0.0,0.0,70.0,10.0,5.0,15.0,0.0,1,100.0,14.0,52.2214575,51.83825,INDUSTRIAL
7,13.861428571428572,30.25,344.2314285714286,354.03,1,1,1.7368131618218976,1.0,0.2,7.0,0.3653884795461519,58.1347119886538,10.0,0,1,0,0.6534491720501968,88.42107868617114,0.0891067052795722,10.628449790846762,0.0,0.2079156456523353,96.39102576103356,0,0.0,30.0,29.860284285714283,79.91081142857145,WILDFIRE
2,3.785,4.89,335.52,336.4,1,1,0.3207287020634272,1.0,0.2,2.0,0.757157770886375,57.92894427215938,10.0,0,1,0,0.071780401475211,99.7821836093166,0.0,0.1460359892081879,0.0,0.0,53.41497285140515,0,0.0,31.0,29.266575,80.0196,WILDFIRE
2,3.6,3.6,339.975,340.42,1,1,0.488919105264109,1.0,0.2,2.0,0.6716281606330902,55.79070401582725,20.0,0,0,0,1.947971584861761,19.855944159798025,0.0,70.34974381822232,7.796836711962575,0.0074255587732976,96.34411802199884,0,0.0,943.0,23.59094,79.762765,AGRICULTURAL
4,5.297499999999999,9.52,346.13,367.0,2,2,1.413359472906525,1.0,0.4,2.0,0.4143601528186978,54.35900382046746,20.0,0,0,0,15.133288779980694,13.875894161035616,0.0,33.2046236479295,37.766391920992056,0.0198014900621271,80.99958833142433,0,0.0,414.0,24.6468525,79.4319375,AGRICULTURAL
2,3.015,5.27,318.865,333.3,1,1,0.4878216687767832,1.0,0.2,2.0,0.6721235622426126,55.80308905606531,30.0,0,0,0,13.180366822603402,62.8177520358407,0.9281948466622114,22.704883542486577,0.0,0.3688027524071186,77.90095287942101,0,0.0,35.0,29.42828,80.20637500000001,WILDFIRE
2,0.98,0.98,307.315,311.71,1,1,0.3796466326933747,1.0,0.2,2.0,0.7248232817759859,57.12058204439965,10.0,0,1,0,0.720279201009876,57.71639315858519,1.2549194326873097,40.26137966882008,0.0,0.047028538897552,72.19902717982744,0,0.0,132.0,29.909,78.73924,WILDFIRE
3,1.0566666666666666,1.44,310.62666666666667,316.25,1,1,0.8563482445757894,1.0,0.2,3.0,0.5386920277065357,54.467300692663386,10.0,0,1,0,3.032103165763224,93.43333085814707,0.8613648177025321,2.457859953961536,0.1386104304348902,0.0767307739907428,59.38347859598033,0,0.0,129.0,29.815313333333336,78.62299666666667,WILDFIRE
