latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.64804,83.88205,338.85,0.32,0.55,2024-05-04,0703,N20,VIIRS,n,2,298.38,2.52,D,0
17.71473,79.64314,336.53,0.63,0.72,2024-05-04,0703,N20,VIIRS,n,2,298.19,4.79,D,0
17.77424,79.93333,331.04,0.6,0.71,2024-05-04,0703,N20,VIIRS,n,2,296.59,1.74,D,0
18.38276,82.73092,367,0.39,0.59,2024-05-04,0703,N20,VIIRS,h,2,297.73,8.3,D,0
17.7436,79.88746,331.96,0.61,0.71,2024-05-04,0703,N20,VIIRS,n,2,296.7,3.33,D,0
18.53339,83.50153,332.22,0.34,0.56,2024-05-04,0703,N20,VIIRS,n,2,299.54,1.39,D,0
18.53546,83.50167,332.19,0.34,0.56,2024-05-04,0703,N20,VIIRS,n,2,299.59,1.19,D,0
18.37982,82.73161,367,0.39,0.59,2024-05-04,0703,N20,VIIRS,h,2,297.93,9.13,D,0
17.71541,79.64361,336.59,0.63,0.72,2024-05-04,0703,N20,VIIRS,n,2,297.9,5.17,D,0
17.74281,79.88874,335.18,0.61,0.71,2024-05-04,0703,N20,VIIRS,n,2,297.26,3.37,D,0
18.4269,83.15027,333.24,0.36,0.58,2024-05-04,0703,N20,VIIRS,n,2,298.06,2.55,D,0
18.58051,83.93548,338.19,0.32,0.54,2024-05-04,0703,N20,VIIRS,n,2,298.71,0.98,D,0
17.6269,79.52385,331.61,0.65,0.73,2024-05-04,0703,N20,VIIRS,n,2,298.92,2.42,D,0
17.77651,80.48215,332.57,0.56,0.69,2024-05-04,0703,N20,VIIRS,n,2,296.32,3.61,D,0
18.48704,83.80598,332.58,0.33,0.55,2024-05-04,0703,N20,VIIRS,n,2,298.51,1.54,D,0
18.06254,81.72308,330.55,0.46,0.63,2024-05-04,0703,N20,VIIRS,n,2,297.99,2.54,D,0
18.48785,83.80898,333.93,0.33,0.55,2024-05-04,0703,N20,VIIRS,n,2,298.03,1.79,D,0
17.77834,80.4817,331.94,0.56,0.69,2024-05-04,0703,N20,VIIRS,n,2,296.32,2.42,D,0
18.44911,83.71894,332.68,0.33,0.55,2024-05-04,0703,N20,VIIRS,n,2,298.25,2.02,D,0
18.44972,83.72202,333.84,0.33,0.55,2024-05-04,0703,N20,VIIRS,n,2,297.98,2.1,D,0
17.69843,80.26658,333.49,0.58,0.7,2024-05-04,0703,N20,VIIRS,n,2,295.21,3.88,D,0
17.69568,80.28388,347.34,0.58,0.69,2024-05-04,0703,N20,VIIRS,n,2,296.09,6.33,D,0
18.31183,83.3562,332.71,0.35,0.57,2024-05-04,0703,N20,VIIRS,n,2,298.4,3.6,D,0
18.02412,82.5554,341.19,0.4,0.6,2024-05-04,0703,N20,VIIRS,n,2,296.67,4.93,D,0
18.02342,82.55582,337.71,0.4,0.6,2024-05-04,0703,N20,VIIRS,n,2,296.53,4.24,D,0
18.01395,82.67497,342.61,0.4,0.6,2024-05-04,0703,N20,VIIRS,n,2,291.75,9.28,D,0
18.21861,83.68192,335.41,0.34,0.56,2024-05-04,0703,N20,VIIRS,n,2,297.57,2.74,D,0
17.65023,81.77,349.65,0.46,0.64,2024-05-04,0703,N20,VIIRS,n,2,295.78,6.16,D,0
17.65017,81.77127,347.2,0.46,0.64,2024-05-04,0703,N20,VIIRS,n,2,295.15,5.86,D,0
17.13788,80.02843,335.8,0.61,0.71,2024-05-04,0703,N20,VIIRS,n,2,295.29,4.17,D,0
17.13737,80.02929,334.73,0.61,0.71,2024-05-04,0703,N20,VIIRS,n,2,295.72,3.13,D,0
17.12748,80.13688,330.29,0.61,0.71,2024-05-04,0703,N20,VIIRS,n,2,296.27,2.95,D,0
17.09396,80.19675,342.12,0.6,0.71,2024-05-04,0703,N20,VIIRS,n,2,296.54,4.52,D,0
17.09321,80.19933,334.99,0.6,0.71,2024-05-04,0703,N20,VIIRS,n,2,296.43,2.91,D,0
17.0826,80.24253,332.61,0.6,0.7,2024-05-04,0703,N20,VIIRS,n,2,297.28,4.52,D,0
17.07187,80.28478,335.65,0.59,0.7,2024-05-04,0703,N20,VIIRS,n,2,296.22,2.57,D,0
17.05242,80.22642,338.03,0.6,0.71,2024-05-04,0703,N20,VIIRS,n,2,296.53,8.94,D,0
17.03756,80.18916,353.11,0.6,0.71,2024-05-04,0703,N20,VIIRS,n,2,296.45,11.81,D,0
17.25773,81.26083,332.96,0.51,0.66,2024-05-04,0703,N20,VIIRS,n,2,294.83,4.7,D,0
16.98712,80.14295,336.91,0.61,0.71,2024-05-04,0703,N20,VIIRS,n,2,295.81,3.69,D,0
17.64453,83.21146,342.01,0.37,0.58,2024-05-04,0703,N20,VIIRS,n,2,299.24,6.48,D,0
17.64523,83.2149,333.28,0.37,0.58,2024-05-04,0703,N20,VIIRS,n,2,298.48,5.42,D,0
17.63998,83.21606,367,0.37,0.58,2024-05-04,0703,N20,VIIRS,h,2,300.37,6.52,D,0
17.63473,83.21719,347.03,0.37,0.58,2024-05-04,0703,N20,VIIRS,n,2,299.65,6.52,D,0
17.63544,83.22063,344.36,0.37,0.58,2024-05-04,0703,N20,VIIRS,n,2,300.01,6.52,D,0
16.96299,80.12516,334.7,0.61,0.71,2024-05-04,0703,N20,VIIRS,n,2,295.36,3.23,D,0
16.94387,80.09998,334.57,0.61,0.71,2024-05-04,0703,N20,VIIRS,n,2,295.39,4.11,D,0
17.11671,80.8134,330.21,0.55,0.68,2024-05-04,0703,N20,VIIRS,n,2,295.25,4.81,D,0
16.96221,80.12599,334.71,0.61,0.71,2024-05-04,0703,N20,VIIRS,n,2,295.45,4.13,D,0
16.94327,80.10078,334.37,0.61,0.71,2024-05-04,0703,N20,VIIRS,n,2,295.56,3.55,D,0
16.75486,79.40445,332.12,0.69,0.74,2024-05-04,0703,N20,VIIRS,n,2,297.5,2.31,D,0
17.07051,80.89712,337.93,0.54,0.68,2024-05-04,0703,N20,VIIRS,n,2,295.52,4.81,D,0
16.94785,80.54468,330.19,0.57,0.69,2024-05-04,0703,N20,VIIRS,n,2,295.38,6.13,D,0
16.94528,80.54785,333.57,0.57,0.69,2024-05-04,0703,N20,VIIRS,n,2,295.56,7.21,D,0
16.97034,80.69505,330.46,0.56,0.69,2024-05-04,0703,N20,VIIRS,n,2,295.44,4,D,0
17.30876,82.30603,339.23,0.43,0.62,2024-05-04,0703,N20,VIIRS,n,2,296.03,4.1,D,0
17.16484,81.64193,330.43,0.48,0.65,2024-05-04,0703,N20,VIIRS,n,2,294.55,3.79,D,0
17.0605,81.35344,330.91,0.51,0.66,2024-05-04,0703,N20,VIIRS,n,2,295.02,6.67,D,0
16.8263,80.51457,336.11,0.58,0.7,2024-05-04,0703,N20,VIIRS,n,2,295.11,4.95,D,0
17.07518,81.70839,341.71,0.48,0.65,2024-05-04,0703,N20,VIIRS,n,2,295.6,4.77,D,0
17.13969,82.09992,332.18,0.45,0.63,2024-05-04,0703,N20,VIIRS,n,2,295.8,3.87,D,0
17.00705,82.15475,333.82,0.45,0.63,2024-05-04,0703,N20,VIIRS,n,2,296.18,5.25,D,0
16.99444,82.12303,335.65,0.45,0.63,2024-05-04,0703,N20,VIIRS,n,2,296.15,17.49,D,0
16.9927,82.11475,367,0.45,0.63,2024-05-04,0703,N20,VIIRS,h,2,296.96,32.06,D,0
16.99357,82.1189,367,0.45,0.63,2024-05-04,0703,N20,VIIRS,h,2,296.85,17.49,D,0
16.98701,82.11604,339.54,0.45,0.63,2024-05-04,0703,N20,VIIRS,n,2,295.51,4.71,D,0
16.98045,82.11316,341.3,0.45,0.63,2024-05-04,0703,N20,VIIRS,n,2,296.29,4.71,D,0
16.9496,82.02398,339.67,0.46,0.63,2024-05-04,0703,N20,VIIRS,n,2,294.68,4.08,D,0
16.93905,82.03075,330.4,0.46,0.63,2024-05-04,0703,N20,VIIRS,n,2,294.35,6.36,D,0
16.50979,80.0979,337.06,0.63,0.72,2024-05-04,0703,N20,VIIRS,n,2,296.15,2.48,D,0
16.93086,81.99548,334.51,0.46,0.64,2024-05-04,0703,N20,VIIRS,n,2,295.82,4.6,D,0
16.51006,80.09852,336.76,0.63,0.72,2024-05-04,0703,N20,VIIRS,n,2,295.74,2.4,D,0
16.69333,81.04075,342.01,0.54,0.68,2024-05-04,0703,N20,VIIRS,n,2,295.12,5.29,D,0
16.88364,81.97067,344.42,0.46,0.64,2024-05-04,0703,N20,VIIRS,n,2,295.75,5.73,D,0
16.85722,81.87338,332.89,0.47,0.64,2024-05-04,0703,N20,VIIRS,n,2,295.14,3.05,D,0
16.56963,80.64781,342.73,0.57,0.69,2024-05-04,0703,N20,VIIRS,n,2,296.26,9.08,D,0
16.56338,80.64924,340.18,0.57,0.69,2024-05-04,0703,N20,VIIRS,n,2,296.35,6.35,D,0
16.57085,80.71338,341.61,0.57,0.69,2024-05-04,0703,N20,VIIRS,n,2,295.75,8.7,D,0
16.57426,80.72897,339.74,0.57,0.69,2024-05-04,0703,N20,VIIRS,n,2,295.71,7.14,D,0
16.56461,80.71476,347.77,0.57,0.69,2024-05-04,0703,N20,VIIRS,n,2,296.5,7.6,D,0
16.56575,80.71996,331.45,0.57,0.69,2024-05-04,0703,N20,VIIRS,n,2,296.19,11.34,D,0
16.56803,80.73038,334.21,0.57,0.69,2024-05-04,0703,N20,VIIRS,n,2,295.29,2.11,D,0
16.55838,80.71615,336.07,0.57,0.69,2024-05-04,0703,N20,VIIRS,n,2,295.64,7.6,D,0
16.56059,80.71252,331.18,0.57,0.69,2024-05-04,0703,N20,VIIRS,n,2,295.81,7.57,D,0
16.5617,80.71774,355.43,0.57,0.69,2024-05-04,0703,N20,VIIRS,n,2,295.6,11.16,D,0
16.3972,80.16935,335.67,0.62,0.72,2024-05-04,0703,N20,VIIRS,n,2,295.42,3.07,D,0
16.01501,78.71297,343.09,0.79,0.78,2024-05-04,0703,N20,VIIRS,n,2,302.21,10.64,D,0
16.47055,80.8093,337.8,0.56,0.69,2024-05-04,0703,N20,VIIRS,n,2,295.96,4.57,D,0
16.46435,80.81071,337.93,0.56,0.69,2024-05-04,0703,N20,VIIRS,n,2,295.06,3.85,D,0
16.43653,80.71383,331.37,0.57,0.69,2024-05-04,0703,N20,VIIRS,n,2,295.61,4.74,D,0
16.01734,78.71024,344.83,0.79,0.78,2024-05-04,0703,N20,VIIRS,n,2,303.07,8.16,D,0
16.46665,80.8114,350.64,0.56,0.69,2024-05-04,0703,N20,VIIRS,n,2,295.48,7.87,D,0
16.43326,80.71573,331.68,0.57,0.69,2024-05-04,0703,N20,VIIRS,n,2,295.43,4.35,D,0
16.13344,79.86961,336.05,0.66,0.73,2024-05-04,0703,N20,VIIRS,n,2,296.01,4.06,D,0
16.31443,80.68242,367,0.58,0.7,2024-05-04,0703,N20,VIIRS,h,2,295.53,8.95,D,0
16.307,80.67857,347.34,0.58,0.7,2024-05-04,0703,N20,VIIRS,n,2,296.07,16.3,D,0
16.30816,80.68385,332.3,0.58,0.7,2024-05-04,0703,N20,VIIRS,n,2,295.61,8.95,D,0
16.26402,80.51446,333.5,0.59,0.7,2024-05-04,0703,N20,VIIRS,n,2,295.68,4.64,D,0
16.30073,80.68,351.78,0.58,0.7,2024-05-04,0703,N20,VIIRS,n,2,296.33,6.46,D,0
16.29329,80.67616,330.86,0.58,0.7,2024-05-04,0703,N20,VIIRS,n,2,295.93,6.46,D,0
16.31789,80.6813,351.79,0.58,0.7,2024-05-04,0703,N20,VIIRS,n,2,295.89,7.53,D,0
16.1371,79.87368,336.55,0.66,0.73,2024-05-04,0703,N20,VIIRS,n,2,296.02,2.53,D,0
16.31162,80.68275,351.11,0.58,0.7,2024-05-04,0703,N20,VIIRS,n,2,295.85,13.23,D,0
16.30423,80.67892,367,0.58,0.7,2024-05-04,0703,N20,VIIRS,h,2,296.02,16.53,D,0
16.26229,80.51438,332.91,0.6,0.7,2024-05-04,0703,N20,VIIRS,n,2,295.72,3.72,D,0
16.29796,80.68037,332.17,0.58,0.7,2024-05-04,0703,N20,VIIRS,n,2,295.86,4.55,D,0
16.29449,80.72543,341.36,0.58,0.69,2024-05-04,0703,N20,VIIRS,n,2,295.77,5.74,D,0
16.26149,80.6943,351.86,0.58,0.7,2024-05-04,0703,N20,VIIRS,n,2,296.38,8.85,D,0
17.91139,79.64257,332.2,0.63,0.72,2024-05-04,0703,N20,VIIRS,n,2,298.28,3.73,D,0
20.4953,82.42604,342.55,0.37,0.58,2024-05-04,0704,N20,VIIRS,n,2,310.98,4.17,D,0
20.49389,82.41927,336.55,0.37,0.58,2024-05-04,0704,N20,VIIRS,l,2,311.13,4.91,D,0
20.62286,83.04803,340.61,0.33,0.55,2024-05-04,0704,N20,VIIRS,n,2,309.88,3.51,D,0
20.49529,82.42616,338.61,0.37,0.58,2024-05-04,0704,N20,VIIRS,l,2,310.08,3.48,D,0
20.49384,82.41941,339.92,0.37,0.58,2024-05-04,0704,N20,VIIRS,l,2,311.36,5.2,D,0
20.41488,82.05539,340.61,0.39,0.59,2024-05-04,0704,N20,VIIRS,n,2,311.64,4.32,D,0
20.90638,84.34521,334.7,0.54,0.51,2024-05-04,0704,N20,VIIRS,l,2,308.99,4.88,D,0
20.90542,84.34046,342,0.54,0.51,2024-05-04,0704,N20,VIIRS,n,2,309.65,4.15,D,0
19.96261,79.87542,335.04,0.55,0.68,2024-05-04,0704,N20,VIIRS,l,2,307.93,3.56,D,0
20.60596,82.74242,367,0.35,0.57,2024-05-04,0704,N20,VIIRS,h,2,314.48,4.94,D,0
20.60663,82.74557,340.08,0.35,0.57,2024-05-04,0704,N20,VIIRS,n,2,311.09,4.94,D,0
20.66045,82.90112,339.42,0.34,0.56,2024-05-04,0704,N20,VIIRS,n,2,309.11,3.17,D,0
