latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.74857,92.60696,341.3,0.54,0.68,2024-04-05,0607,N20,VIIRS,n,2,289.79,21.63,D,0
25.74733,92.602,354.24,0.54,0.68,2024-04-05,0607,N20,VIIRS,n,2,293.11,21.63,D,0
25.75313,92.59929,367,0.54,0.68,2024-04-05,0607,N20,VIIRS,h,2,291.01,13.16,D,0
25.75448,92.60469,333.97,0.54,0.68,2024-04-05,0607,N20,VIIRS,n,2,290.35,13.16,D,0
25.76495,92.62068,367,0.54,0.68,2024-04-05,0607,N20,VIIRS,h,2,290.66,12.45,D,0
25.76368,92.61559,331.15,0.54,0.68,2024-04-05,0607,N20,VIIRS,n,2,290.15,12.45,D,0
26.05212,93.59311,367,0.46,0.64,2024-04-05,0607,N20,VIIRS,h,2,291.84,48.24,D,0
26.05109,93.58878,344.47,0.46,0.64,2024-04-05,0607,N20,VIIRS,n,2,296.71,45.97,D,0
25.81645,92.61964,352.84,0.54,0.68,2024-04-05,0607,N20,VIIRS,n,2,290.78,9.86,D,0
25.80381,92.54195,367,0.54,0.68,2024-04-05,0607,N20,VIIRS,h,2,291,25.46,D,0
26.09182,93.73473,333.35,0.45,0.63,2024-04-05,0607,N20,VIIRS,n,2,289.96,6.62,D,0
25.80257,92.53693,349.35,0.54,0.68,2024-04-05,0607,N20,VIIRS,n,2,290.96,25.46,D,0
26.10003,93.71848,344.77,0.45,0.63,2024-04-05,0607,N20,VIIRS,n,2,290.08,8.4,D,0
26.09901,93.71418,353.78,0.45,0.63,2024-04-05,0607,N20,VIIRS,n,2,291.34,8.4,D,0
25.78386,92.38148,336.09,0.56,0.69,2024-04-05,0607,N20,VIIRS,n,2,289.83,7.6,D,0
25.78244,92.37571,336.15,0.56,0.69,2024-04-05,0607,N20,VIIRS,n,2,290.03,7.6,D,0
25.80689,92.42199,331.07,0.55,0.68,2024-04-05,0607,N20,VIIRS,n,2,290.07,6.04,D,0
25.76437,92.24899,345.68,0.57,0.69,2024-04-05,0607,N20,VIIRS,n,2,290.46,10.97,D,0
26.09329,93.73427,335.88,0.45,0.63,2024-04-05,0607,N20,VIIRS,n,2,290.16,6.64,D,0
26.09225,93.72997,339.94,0.45,0.63,2024-04-05,0607,N20,VIIRS,n,2,290.4,4.5,D,0
25.81687,92.62083,341.12,0.54,0.68,2024-04-05,0607,N20,VIIRS,n,2,290.41,7.49,D,0
26.09683,93.72401,327.58,0.45,0.63,2024-04-05,0607,N20,VIIRS,n,2,290.46,4.5,D,0
25.80254,92.53852,346.39,0.54,0.68,2024-04-05,0607,N20,VIIRS,n,2,293.24,28.52,D,0
25.80381,92.54353,356.03,0.54,0.68,2024-04-05,0607,N20,VIIRS,l,2,289.63,28.52,D,0
26.10144,93.71812,333.12,0.45,0.63,2024-04-05,0607,N20,VIIRS,n,2,289.75,9.18,D,0
26.1004,93.71385,356.01,0.45,0.63,2024-04-05,0607,N20,VIIRS,n,2,291.53,9.18,D,0
25.78152,92.37804,367,0.56,0.69,2024-04-05,0607,N20,VIIRS,h,2,290.7,14.04,D,0
26.10141,93.5932,367,0.46,0.64,2024-04-05,0607,N20,VIIRS,h,2,291.92,105.88,D,0
26.09954,93.58548,367,0.46,0.64,2024-04-05,0607,N20,VIIRS,h,2,292.01,72.38,D,0
26.09855,93.5814,334.49,0.46,0.64,2024-04-05,0607,N20,VIIRS,n,2,288.67,15.4,D,0
26.03117,93.30447,332.96,0.48,0.65,2024-04-05,0607,N20,VIIRS,n,2,290.8,3.65,D,0
25.81086,92.41637,330.39,0.55,0.68,2024-04-05,0607,N20,VIIRS,n,2,290.26,4.43,D,0
26.10049,93.58939,263.9,0.46,0.64,2024-04-05,0607,N20,VIIRS,l,2,305.84,72.38,D,0
26.10638,93.58861,356.48,0.46,0.64,2024-04-05,0607,N20,VIIRS,l,2,285.65,13.28,D,0
26.10535,93.58436,356.39,0.46,0.64,2024-04-05,0607,N20,VIIRS,l,2,288.53,13.28,D,0
25.82012,92.40113,343.91,0.55,0.68,2024-04-05,0607,N20,VIIRS,n,2,289.55,6.84,D,0
25.82583,92.3978,338.67,0.55,0.68,2024-04-05,0607,N20,VIIRS,n,2,289.64,5.38,D,0
25.5183,91.19376,351.52,0.67,0.73,2024-04-05,0607,N20,VIIRS,n,2,292.2,13.19,D,0
25.90114,92.67383,337.34,0.53,0.67,2024-04-05,0607,N20,VIIRS,n,2,289.37,6.9,D,0
25.89997,92.66912,343.25,0.53,0.67,2024-04-05,0607,N20,VIIRS,n,2,290.45,6.9,D,0
25.64013,91.47706,330.12,0.64,0.72,2024-04-05,0607,N20,VIIRS,n,2,292.59,6.95,D,0
25.63885,91.47618,333.72,0.64,0.72,2024-04-05,0607,N20,VIIRS,n,2,293.18,8.35,D,0
25.71754,91.43257,328.62,0.64,0.72,2024-04-05,0607,N20,VIIRS,n,2,290.84,6.17,D,0
25.72943,91.42495,367,0.64,0.72,2024-04-05,0607,N20,VIIRS,h,2,291.36,16.46,D,0
25.73853,91.46053,338.17,0.63,0.72,2024-04-05,0607,N20,VIIRS,n,2,291.32,8.78,D,0
25.73692,91.45425,339.13,0.64,0.72,2024-04-05,0607,N20,VIIRS,n,2,290.82,8.78,D,0
25.7285,91.42133,331.81,0.64,0.72,2024-04-05,0607,N20,VIIRS,n,2,292.91,11.43,D,0
25.743,91.451,349.82,0.64,0.72,2024-04-05,0607,N20,VIIRS,n,2,292.03,8.78,D,0
25.73708,91.29172,347.37,0.65,0.73,2024-04-05,0607,N20,VIIRS,n,2,291.5,12.59,D,0
25.73797,91.46048,335.49,0.63,0.72,2024-04-05,0607,N20,VIIRS,n,2,290.84,16.12,D,0
25.73626,91.45396,332.23,0.63,0.72,2024-04-05,0607,N20,VIIRS,n,2,290.83,14.13,D,0
25.72867,91.42506,355.96,0.64,0.72,2024-04-05,0607,N20,VIIRS,n,2,291.27,10.73,D,0
25.72773,91.42146,335.42,0.64,0.72,2024-04-05,0607,N20,VIIRS,n,2,292.98,10.73,D,0
25.74241,91.45101,367,0.63,0.72,2024-04-05,0607,N20,VIIRS,h,2,291.93,14.13,D,0
25.73573,91.29272,350.06,0.65,0.73,2024-04-05,0607,N20,VIIRS,n,2,291.11,10.63,D,0
25.93508,92.0126,330.37,0.58,0.7,2024-04-05,0607,N20,VIIRS,n,2,291.05,3.8,D,0
26.06794,92.48704,328.53,0.54,0.68,2024-04-05,0607,N20,VIIRS,n,2,290.68,3.03,D,0
24.19803,93.6334,327.86,0.51,0.66,2024-04-05,0607,N20,VIIRS,n,2,296.53,3.28,D,0
24.20399,93.63197,367,0.51,0.66,2024-04-05,0607,N20,VIIRS,h,2,295.85,38.49,D,0
24.20282,93.62704,340.49,0.51,0.66,2024-04-05,0607,N20,VIIRS,n,2,305.84,51.74,D,0
23.83602,92.11269,341.96,0.64,0.72,2024-04-05,0607,N20,VIIRS,n,2,287.97,9.59,D,0
23.83085,92.00777,328.41,0.65,0.73,2024-04-05,0607,N20,VIIRS,n,2,287.63,4.69,D,0
24.20069,93.6347,343.6,0.51,0.66,2024-04-05,0607,N20,VIIRS,n,2,297.06,25.35,D,0
24.20553,93.62868,367,0.51,0.66,2024-04-05,0607,N20,VIIRS,h,2,301.63,37.28,D,0
24.20421,93.62328,340.24,0.51,0.66,2024-04-05,0607,N20,VIIRS,n,2,297.15,37.28,D,0
23.83578,92.11754,329.12,0.64,0.72,2024-04-05,0607,N20,VIIRS,n,2,286.82,5.27,D,0
23.83419,92.11129,334.82,0.64,0.72,2024-04-05,0607,N20,VIIRS,n,2,288.01,6.63,D,0
23.82848,92.00694,332.18,0.65,0.73,2024-04-05,0607,N20,VIIRS,n,2,288.08,5.99,D,0
23.85369,91.96894,331.98,0.65,0.73,2024-04-05,0607,N20,VIIRS,n,2,289.44,9.55,D,0
23.83779,91.87829,328.63,0.66,0.73,2024-04-05,0607,N20,VIIRS,n,2,287.6,4.9,D,0
23.8443,91.87633,328.56,0.66,0.73,2024-04-05,0607,N20,VIIRS,n,2,286.83,6.88,D,0
23.84275,91.87019,336.24,0.66,0.73,2024-04-05,0607,N20,VIIRS,n,2,288.42,8.95,D,0
24.49132,94.15587,332.24,0.46,0.64,2024-04-05,0607,N20,VIIRS,n,2,288.98,3.89,D,0
24.6058,94.3624,367,0.45,0.63,2024-04-05,0607,N20,VIIRS,h,2,294.92,16.75,D,0
24.18103,92.51618,328.69,0.59,0.7,2024-04-05,0607,N20,VIIRS,n,2,291.39,4.68,D,0
24.60178,94.36311,367,0.45,0.63,2024-04-05,0607,N20,VIIRS,h,2,294.71,12.56,D,0
24.6071,94.36028,332.63,0.45,0.63,2024-04-05,0607,N20,VIIRS,n,2,293.17,2.91,D,0
24.17039,92.16673,355.11,0.62,0.72,2024-04-05,0607,N20,VIIRS,n,2,290.4,10.71,D,0
24.17674,92.16472,338.86,0.62,0.72,2024-04-05,0607,N20,VIIRS,n,2,289.94,6.52,D,0
24.18955,92.16116,329.76,0.62,0.72,2024-04-05,0607,N20,VIIRS,n,2,290.41,4.73,D,0
24.17026,92.16605,350.74,0.62,0.72,2024-04-05,0607,N20,VIIRS,n,2,290.18,10.5,D,0
