cluster_id,centroid_lat,centroid_lon,detection_count,unique_detection_days,observation_window_days,spatial_spread_km,temporal_recurrence,duration_score,detection_frequency,spatial_consistency,persistence_score,persistence_label,mean_frp,max_frp,mean_brightness,max_brightness,mean_confidence,satellite_count,fire_class,industrial_distance_km,industrial_feature_count,forest_distance_km,forest_feature_count,farmland_distance_km,farmland_feature_count,population_distance_km,population_feature_count,land_cover_type
754,26.801006666666662,79.66691666666667,3,3,11.98263888888889,0.9041370162958275,0.2503622138510576,1.0,0.2503622138510576,0.5251722914064917,44.76684774061896,MEDIUM / RECURRENT,2.536666666666666,3.6,330.6333333333334,331.14,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
755,26.948855,82.817145,4,3,12.970833333333331,1.727619183158113,0.2312881464824927,1.0,0.3083841953099903,0.3666200935139972,41.044255387787175,MEDIUM / RECURRENT,3.785,6.69,335.66499999999996,340.58,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
756,26.988876,82.75437200000002,5,3,10.009027777777778,2.1922563981992704,0.2997294109484493,1.0,0.4995490182474155,0.313258045489107,42.754788329472696,MEDIUM / RECURRENT,4.304,7.25,340.76800000000003,352.22,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
757,27.513606666666664,80.20281,3,3,9.022222222222222,1.5010502405448565,0.3325123152709359,1.0,0.3325123152709359,0.3998320320755128,45.29959630653488,MEDIUM / RECURRENT,5.21,7.34,336.1933333333333,342.5,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
758,28.936893333333337,77.55711000000001,3,2,9.020138888888887,0.4440603882189582,0.2217260759103857,1.0,0.3325891138655785,0.6924918155489029,47.27542719557272,MEDIUM / RECURRENT,2.563333333333333,3.32,331.9466666666667,337.18,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
759,29.09246333333333,77.42446666666667,3,3,12.96875,1.7858564582496292,0.2313253012048192,1.0,0.2313253012048192,0.3589560391881447,40.738156928341205,MEDIUM / RECURRENT,3.526666666666667,4.6,330.75,331.18,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
760,29.20262,78.72617666666667,3,3,10.995138888888889,1.3641764467866309,0.272847849428409,1.0,0.272847849428409,0.4229802734729008,43.55497589830915,MEDIUM / RECURRENT,4.303333333333334,4.41,337.8233333333333,338.34,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
761,29.53416,78.45037666666666,3,3,10.995138888888889,1.03618532823591,0.272847849428409,1.0,0.272847849428409,0.4911144315465479,44.917659059782096,MEDIUM / RECURRENT,2.2166666666666663,2.84,329.2566666666667,330.1,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
762,29.80094,82.16887666666666,3,2,1.9729166666666669,0.231777406348173,1.0,0.2818452380952381,1.5205913410770855,0.8118349913274355,61.32401346108384,MEDIUM / RECURRENT,7.830000000000001,13.01,340.3233333333333,355.31,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
763,23.920973333333333,80.71879,3,2,9.022222222222222,1.3916792760837142,0.2216748768472906,1.0,0.3325123152709359,0.4181162624938001,41.78597057007305,MEDIUM / RECURRENT,2.3466666666666667,3.14,330.32666666666665,330.86,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
764,23.976844999999997,80.770615,4,3,10.995833333333334,0.4756004109177084,0.2728306176582039,1.0,0.3637741568776051,0.6776902422913247,48.830424777618845,MEDIUM / RECURRENT,4.2575,5.4,331.9325,333.89,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
765,24.3127775,80.88664,4,3,6.977777777777778,1.3189968032266848,0.4299363057324841,0.9968253968253968,0.5732484076433121,0.431220948044683,49.739321397452144,MEDIUM / RECURRENT,6.6675,8.14,339.63750000000005,342.59,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
766,24.413253333333333,81.15639666666667,3,3,5.990972222222222,0.3395740639592205,0.5007534484757158,0.8558531746031746,0.5007534484757158,0.7465059431237556,54.85432582115596,MEDIUM / RECURRENT,2.193333333333334,3.18,333.56,338.4,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
767,24.489904999999997,78.70193,4,2,4.016666666666667,0.9285835325575752,0.4979253112033195,0.5738095238095238,0.995850622406639,0.5185152642436276,44.1346305170401,MEDIUM / RECURRENT,2.8274999999999997,4.14,333.9525,337.79,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
768,24.499193636363636,80.76342909090909,11,7,16.0,3.8971105956025345,0.4375,1.0,0.6875,0.2042020453648671,45.771540907297336,MEDIUM / RECURRENT,5.16909090909091,9.1,334.79727272727274,345.76,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
769,24.583134,80.30520200000001,5,4,10.009027777777778,1.848738704710052,0.3996392145979324,1.0,0.4995490182474155,0.3510325458584946,47.00712146459235,MEDIUM / RECURRENT,4.262,7.69,336.47,346.38,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
770,25.277614999999997,81.2944925,8,5,5.993055555555555,1.401099761126188,0.8342989571263036,0.8561507936507936,1.3348783314020858,0.4164758233664435,61.6035064708235,MEDIUM / RECURRENT,4.85,10.29,337.9875,345.23,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
771,25.38875,81.47217666666667,3,3,10.009027777777778,1.1891340710507752,0.2997294109484493,1.0,0.2997294109484493,0.4568016245437193,45.22602069596701,MEDIUM / RECURRENT,6.173333333333333,9.75,343.2533333333334,367.0,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
772,25.443593333333336,81.20757333333334,3,3,19.947222222222223,1.374696273764504,0.15039688065729,1.0,0.15039688065729,0.42110648466835,38.98681427768674,LOW / TRANSIENT,9.043333333333331,21.25,343.92333333333335,367.0,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
773,25.49866555555556,81.05963222222222,9,7,10.995833333333334,2.3215548472805265,0.636604774535809,1.0,0.8184918529746116,0.3010638228113966,54.93942727093047,MEDIUM / RECURRENT,4.845555555555555,6.62,335.66888888888894,343.85,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
774,25.703118,78.95778800000001,5,4,8.035416666666666,1.7390799171462283,0.4977962146746176,1.0,0.622245268343272,0.3650860983427866,50.9690800171539,MEDIUM / RECURRENT,3.918,4.87,336.31000000000006,345.62,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
775,25.762280000000004,83.7887175,4,4,5.993055555555555,0.9112765901002332,0.6674391657010429,0.8561507936507936,0.6674391657010429,0.5232105102838919,56.563229177886264,MEDIUM / RECURRENT,9.665,16.26,337.9675,352.15,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
776,25.826293333333336,79.32629999999999,3,3,7.496527777777778,0.9966654471469928,0.4001852709587772,1.0,0.4001852709587772,0.5008350304398195,49.82355563427115,MEDIUM / RECURRENT,4.596666666666667,7.71,321.0466666666666,333.84,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
777,25.930055,81.61696833333333,6,5,10.009027777777778,2.116532721001049,0.4995490182474155,1.0,0.5994588218968986,0.3208694050479258,50.10052138341186,MEDIUM / RECURRENT,2.9949999999999997,4.66,332.2083333333333,335.71,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
778,25.9392275,83.999905,4,4,11.98263888888889,2.4698228953670047,0.3338162851347435,1.0,0.3338162851347435,0.2881991473787395,43.115185497560304,MEDIUM / RECURRENT,3.42,4.62,335.27750000000003,338.46,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
779,25.9815475,80.56491249999999,4,4,6.977777777777778,1.3983587908449282,0.5732484076433121,0.9968253968253968,0.5732484076433121,0.4169517937921647,54.46986187928076,MEDIUM / RECURRENT,3.2125,3.79,334.665,338.77,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
780,25.99615,79.683592,5,4,5.993055555555555,1.5730394133402674,0.6674391657010429,0.8561507936507936,0.8342989571263036,0.3886454264226836,54.20564708351262,MEDIUM / RECURRENT,4.226,5.13,336.728,346.36,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
781,26.026526666666665,82.89127,3,3,11.98263888888889,1.449782031312793,0.2503622138510576,1.0,0.2503622138510576,0.4081995815211847,42.427393542912824,MEDIUM / RECURRENT,2.8633333333333333,3.23,334.03000000000003,338.55,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
782,26.294953333333336,82.31281333333332,3,3,9.022222222222222,1.803639976167036,0.3325123152709359,1.0,0.3325123152709359,0.3566791772484064,44.43653920999276,MEDIUM / RECURRENT,9.39,12.57,337.00666666666666,343.47,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
783,26.35215,81.53757666666667,3,3,10.009027777777778,0.920296954065682,0.2997294109484493,1.0,0.2997294109484493,0.5207527918443993,46.50504404198061,MEDIUM / RECURRENT,4.57,5.97,338.59666666666664,342.75,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
784,26.3552275,81.14496,4,3,5.993055555555555,1.1722111296066182,0.5005793742757821,0.8561507936507936,0.6674391657010429,0.4603604071309115,49.46613441494252,MEDIUM / RECURRENT,5.9375,11.9,335.7075,340.66,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
785,26.39664666666667,79.95921333333332,3,3,25.022222222222226,1.1252695697650976,0.1198934280639431,1.0,0.1198934280639431,0.4705285457555054,38.84662775347601,LOW / TRANSIENT,2.733333333333333,3.49,331.7833333333333,332.94,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
786,26.431480000000004,83.84510999999999,3,2,1.0,0.7234373468943709,1.0,0.1428571428571428,3.0,0.5802357723081707,56.17614401759199,MEDIUM / RECURRENT,4.17,5.9,332.9766666666667,335.78,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
787,26.55331333333333,83.65343,3,3,10.995138888888889,1.3081546840994505,0.272847849428409,1.0,0.272847849428409,0.4332465267119478,43.760300963090096,MEDIUM / RECURRENT,4.773333333333333,8.23,331.01,331.43,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
788,26.5865625,83.7280525,4,4,6.977777777777778,1.4974615686298762,0.5732484076433121,0.9968253968253968,0.5732484076433121,0.4004065618309421,54.13895724005631,MEDIUM / RECURRENT,3.5675000000000003,5.12,333.07,340.37,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
789,26.64413,83.053528,5,5,11.98263888888889,1.957041543361966,0.4172703564184294,1.0,0.4172703564184294,0.3381758373482519,47.202519934446926,MEDIUM / RECURRENT,5.564000000000001,10.68,334.66,341.3,,1,AGRICULTURAL,,0,,0,,0,,0,unknown
